ccaa,provincia,mun_centro,nombre_centro,camas,telefono,direccion_completa,lat,lon,especialidad
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Hospital de día y/o cirugía ambulatoria
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Medicina interna
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Psicología y/o psiquiatría
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Angiología y cirugía vascular
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Cardiología y/o cirugía cardiotorácica
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,"Cirugía general, odontología y digestivo"
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Dermatología
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Ginecología y obstetricia
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Hematología y/o hemoterapia
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Medicina intensiva
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Nefrología y/o urología
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Neurología/Neurocirugía
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Oftalmología y/o cirugía refractiva
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Oncología y/o radioterapia
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Otorrinolaringología
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Radiodiagnóstico
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Rehabilitación y fisioterapia
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Traumatología y/o cirugía ortopédica
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Cuidados paliativos
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Geriatría
Aragón,Zaragoza,Zaragoza,Hospital Nuestra Señora de Gracia,145,976440022,"Calle Ramón y Cajal, 50004, Zaragoza, Zaragoza, Aragón",41.65267918,-0.8869117538,Medicina preventiva
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Hospital de día y/o cirugía ambulatoria
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Medicina interna
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Psicología y/o psiquiatría
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Cardiología y/o cirugía cardiotorácica
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,"Cirugía general, odontología y digestivo"
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Dermatología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Endocrinología y nutrición
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Ginecología y obstetricia
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Hematología y/o hemoterapia
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Medicina intensiva
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Nefrología y/o urología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Neumología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Neurología/Neurocirugía
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Oftalmología y/o cirugía refractiva
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Oncología y/o radioterapia
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Otorrinolaringología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Radiodiagnóstico
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Rehabilitación y fisioterapia
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Reumatología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Traumatología y/o cirugía ortopédica
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Alergología
Aragón,Zaragoza,Zaragoza,Hospital Royo Villanova,256,976466910,"Avenida San GregoRío 30, 50015, Zaragoza, Zaragoza, Aragón",41.69343928,-0.8610028748,Medicina preventiva
Aragón,Zaragoza,Zaragoza,Hospital San Juan de Dios,188,976271660,"Paseo Colón 14, 50006, Zaragoza, Zaragoza, Aragón",41.63499233,-0.8879763038,Hospital de día y/o cirugía ambulatoria
Aragón,Zaragoza,Zaragoza,Hospital San Juan de Dios,188,976271660,"Paseo Colón 14, 50006, Zaragoza, Zaragoza, Aragón",41.63499233,-0.8879763038,Medicina interna
Aragón,Zaragoza,Zaragoza,Hospital San Juan de Dios,188,976271660,"Paseo Colón 14, 50006, Zaragoza, Zaragoza, Aragón",41.63499233,-0.8879763038,Psicología y/o psiquiatría
Aragón,Zaragoza,Zaragoza,Hospital San Juan de Dios,188,976271660,"Paseo Colón 14, 50006, Zaragoza, Zaragoza, Aragón",41.63499233,-0.8879763038,Hematología y/o hemoterapia
